id,date,location,species,length_cm,weight_kg,method,weather,water_temp_c,notes
1,2022-02-01,Sotra,Steinbit,104.6,13.49,Flue,Sol,11.5,Overraskende tung
2,2024-11-22,Bjørnafjorden,Horngjel,91.0,6.93,Jigg,Vind,7.3,Beste fangst på lenge
3,2023-03-16,Fitjarøyene,Makrell,23.5,1.88,Agn,Regn,16.0,Veldig seig i starten
4,2023-10-11,Austevoll,Makrell,63.2,8.15,Jigg,Lettskyet,17.6,Mye småfisk
5,2024-05-10,Austevoll,Steinbit,104.6,7.62,Agn,Tåke,9.1,Overraskende tung
6,2022-09-27,Fitjarøyene,Sild,28.0,2.37,Jigg,Skyet,6.7,Litt bølger
7,2024-11-27,Austevoll,Torsk,31.0,2.26,Shad,Skyet,8.2,Overraskende tung
8,2022-01-01,Sotra,Makrell,86.0,6.83,Jigg,Lettskyet,14.0,Litt bølger
9,2023-01-13,Bjørnafjorden,Hyse,24.1,1.76,Agn,Skyet,10.0,Overraskende tung
10,2022-06-13,Sotra,Torsk,88.9,7.12,Sluk,Skyet,12.3,Beste fangst på lenge
11,2024-03-05,Øygarden,Hyse,99.7,13.76,Sluk,Lettskyet,17.8,Beste fangst på lenge
12,2023-02-15,Fitjarøyene,Sild,76.9,10.57,Jigg,Sol,9.7,Beste fangst på lenge
13,2024-08-23,Bjørnafjorden,Torsk,48.2,3.54,Jigg,Regn,13.0,Tok på første kast
14,2023-11-14,Fedje,Horngjel,89.0,9.46,Jigg,Skyet,9.2,Mye småfisk
15,2023-10-03,Fitjarøyene,Lyr,21.1,2.86,Shad,Lettskyet,17.1,Overraskende tung
16,2024-01-12,Fedje,Makrell,76.2,8.2,Shad,Tåke,15.5,Overraskende tung
17,2023-09-13,Fedje,Hyse,39.5,2.57,Shad,Sol,12.7,Mye småfisk
18,2023-10-15,Tysnes,Sild,115.5,16.16,Agn,Skyet,17.8,Mye småfisk
19,2023-04-20,Bjørnafjorden,Horngjel,108.6,7.16,Shad,Lettskyet,8.5,Tok på første kast
20,2023-03-09,Øygarden,Horngjel,30.4,2.37,Sluk,Lettskyet,10.7,Mye småfisk
21,2024-02-26,Sotra,Hyse,51.3,6.35,Flue,Skyet,7.7,Overraskende tung
22,2024-10-19,Sotra,Steinbit,60.1,3.63,Sluk,Vind,11.8,Veldig seig i starten
23,2023-03-10,Fitjarøyene,Horngjel,78.3,7.32,Shad,Lettskyet,12.2,Tok på første kast
24,2022-12-17,Sotra,Makrell,108.0,13.87,Agn,Skyet,7.9,Overraskende tung
25,2022-07-13,Øygarden,Makrell,50.7,4.14,Shad,Regn,7.1,Litt bølger
26,2022-10-25,Fitjarøyene,Sild,24.7,1.91,Sluk,Sol,9.9,Tok på første kast
27,2024-04-07,Fitjarøyene,Makrell,98.9,11.63,Jigg,Regn,17.7,Overraskende tung
28,2023-03-20,Fedje,Torsk,29.9,2.2,Flue,Vind,16.0,Beste fangst på lenge
29,2023-06-12,Fedje,Torsk,68.9,9.16,Jigg,Lettskyet,13.4,Overraskende tung
30,2024-03-19,Austevoll,Sild,110.5,11.86,Flue,Lettskyet,17.0,Veldig seig i starten
31,2023-05-07,Bjørnafjorden,Makrell,113.8,14.64,Flue,Tåke,6.7,Overraskende tung
32,2023-03-09,Fedje,Sei,35.7,2.23,Jigg,Sol,16.2,Overraskende tung
33,2022-01-20,Austevoll,Sei,82.1,10.96,Agn,Skyet,6.8,Fin dag på sjøen
34,2024-05-14,Austevoll,Makrell,102.9,8.36,Shad,Skyet,17.9,Rolige forhold
35,2024-02-17,Austevoll,Sild,90.4,12.47,Agn,Tåke,6.7,Mye småfisk
36,2023-02-09,Sotra,Torsk,105.4,14.65,Agn,Regn,6.2,Fin dag på sjøen
37,2022-02-10,Øygarden,Horngjel,36.5,4.79,Jigg,Lettskyet,17.2,Beste fangst på lenge
38,2024-08-12,Fitjarøyene,Torsk,89.5,8.26,Sluk,Sol,13.1,Tok på første kast
39,2024-12-27,Austevoll,Horngjel,50.3,3.64,Sluk,Regn,7.1,Litt bølger
40,2024-10-26,Fitjarøyene,Makrell,75.8,8.72,Sluk,Tåke,14.9,Overraskende tung
41,2023-11-28,Sotra,Hyse,79.0,5.76,Shad,Lettskyet,8.5,Veldig seig i starten
42,2023-02-08,Bjørnafjorden,Torsk,26.5,3.18,Jigg,Sol,17.3,Beste fangst på lenge
43,2023-09-27,Austevoll,Sild,34.4,3.97,Agn,Skyet,15.8,Rolige forhold
44,2024-07-22,Austevoll,Hyse,35.1,2.58,Sluk,Tåke,8.2,Tok på første kast
45,2024-07-22,Bjørnafjorden,Steinbit,102.3,10.75,Jigg,Sol,8.7,Mye småfisk
46,2023-05-27,Bjørnafjorden,Hyse,48.3,3.96,Flue,Sol,14.9,Beste fangst på lenge
47,2023-01-05,Fitjarøyene,Hyse,75.9,8.06,Pilking,Vind,11.9,Tok på første kast
48,2024-07-21,Fitjarøyene,Sild,42.7,4.37,Sluk,Skyet,15.6,Rolige forhold
49,2023-10-03,Bjørnafjorden,Sei,77.9,9.29,Pilking,Sol,12.8,Tok på første kast
50,2022-06-30,Øygarden,Makrell,109.5,6.99,Flue,Regn,9.5,Veldig seig i starten
51,2024-02-02,Austevoll,Horngjel,63.8,8.1,Flue,Sol,13.8,Litt bølger
52,2023-03-19,Sotra,Sei,28.0,2.3,Pilking,Lettskyet,16.5,Rolige forhold
53,2022-01-11,Fedje,Horngjel,20.2,2.44,Agn,Sol,12.2,Tok på første kast
54,2024-06-26,Fitjarøyene,Hyse,55.3,3.73,Shad,Sol,16.1,Tok på første kast
55,2023-02-04,Bjørnafjorden,Steinbit,50.8,5.0,Flue,Vind,10.0,Overraskende tung
56,2022-06-20,Bjørnafjorden,Makrell,39.0,5.24,Jigg,Tåke,9.2,Overraskende tung
57,2022-08-25,Fitjarøyene,Torsk,78.7,9.53,Agn,Lettskyet,12.8,Beste fangst på lenge
58,2024-10-19,Tysnes,Lyr,76.0,5.03,Pilking,Tåke,15.8,Litt bølger
